mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,data are below
rho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,dR2da,
0.500000,0.500000,0.500000,0.500000,0.500000,0.501023,0.501023,0.501023,0.501023,17.517876,17.517876,17.517876,17.517876,17.517876,17.517876,17.517876,17.517876,0.501020,0.501020,0.501020,0.501020,17.517837,17.517837,17.517837,17.517837,17.517837,17.517837,17.517837,17.517837,-0.605605,
0.500000,0.500000,0.500000,0.500000,0.625000,0.513969,0.513969,0.513969,0.513969,17.741090,17.741090,17.741090,17.741090,17.741090,17.741090,15.794034,15.794034,0.514221,0.513641,0.514221,0.513641,17.745376,17.735496,17.745376,17.735496,17.745376,17.735496,15.798280,15.788493,6.763296,
0.500000,0.500000,0.500000,0.500000,0.750000,0.522703,0.522703,0.522703,0.522703,17.888481,17.888481,17.888481,17.888481,17.888481,17.888481,14.374605,14.374605,0.523781,0.521433,0.523781,0.521433,17.906506,17.867215,17.906506,17.867215,17.906506,17.867215,14.392067,14.354012,11.477510,
0.500000,0.500000,0.500000,0.500000,0.875000,0.528676,0.528676,0.528676,0.528676,17.987840,17.987840,17.987840,17.987840,17.987840,17.987840,13.182287,13.182287,0.530761,0.526204,0.530761,0.526204,18.022252,17.946853,18.022252,17.946853,18.022252,17.946853,13.214646,13.143790,14.572956,
0.500000,0.500000,0.500000,0.500000,1.000000,0.532755,0.532755,0.532755,0.532755,18.055024,18.055024,18.055024,18.055024,18.055024,18.055024,12.165293,12.165293,0.535874,0.528978,0.535874,0.528978,18.106057,17.992839,18.106057,17.992839,18.106057,17.992839,12.211676,12.108897,16.632524,
0.500000,0.500000,0.500000,0.500000,1.125000,0.535508,0.535508,0.535508,0.535508,18.100075,18.100075,18.100075,18.100075,18.100075,18.100075,11.287371,11.287371,0.539614,0.530415,0.539614,0.530415,18.166825,18.016554,18.166825,18.016554,18.166825,18.016554,11.345864,11.214426,17.998309,
0.500000,0.500000,0.500000,0.500000,1.250000,0.537308,0.537308,0.537308,0.537308,18.129409,18.129409,18.129409,18.129409,18.129409,18.129409,10.521847,10.521847,0.542319,0.530965,0.542319,0.530965,18.210512,18.025616,18.210512,18.025616,18.210512,18.025616,10.590281,10.434669,18.889046,
0.500000,0.500000,0.500000,0.500000,1.375000,0.538503,0.538503,0.538503,0.538503,18.148821,18.148821,18.148821,18.148821,18.148821,18.148821,9.849791,9.849791,0.544246,0.530912,0.544246,0.530912,18.241504,18.024739,18.241504,18.024739,18.241504,18.024739,9.925055,9.749621,19.404625,
0.500000,0.500000,0.500000,0.500000,1.500000,0.539125,0.539125,0.539125,0.539125,18.158902,18.158902,18.158902,18.158902,18.158902,18.158902,9.253659,9.253659,0.545577,0.530465,0.545577,0.530465,18.262825,18.017368,18.262825,18.017368,18.262825,18.017368,9.334866,9.143848,19.717282,
0.500000,0.500000,0.500000,0.625000,0.500000,0.514767,0.514767,0.514767,0.514767,17.754661,17.754661,15.807480,15.807480,17.754661,17.754661,17.754661,17.754661,0.515051,0.514423,0.515051,0.514423,17.759480,17.748813,15.812255,15.801685,17.759480,17.748813,17.759480,17.748813,-7.923450,
0.500000,0.500000,0.500000,0.625000,0.625000,0.529682,0.529682,0.529682,0.529682,18.004460,18.004460,16.055388,16.055388,18.004460,18.004460,16.055388,16.055388,0.529680,0.529680,0.529680,0.529680,18.004424,18.004424,16.055353,16.055353,18.004424,18.004424,16.055353,16.055353,-0.513083,
0.500000,0.500000,0.500000,0.625000,0.750000,0.540077,0.540077,0.540077,0.540077,18.174325,18.174325,16.224419,16.224419,18.174325,18.174325,14.652379,14.652379,0.540205,0.539884,0.540205,0.539884,18.176390,18.171197,16.226477,16.221303,18.176390,18.171197,14.654393,14.649330,4.223767,
0.500000,0.500000,0.500000,0.625000,0.875000,0.547285,0.547285,0.547285,0.547285,18.290125,18.290125,16.339861,16.339861,18.290125,18.290125,13.467746,13.467746,0.548006,0.546410,0.548006,0.546410,18.301616,18.276156,16.351325,16.325926,18.301616,18.276156,13.478651,13.454495,7.412212,
0.500000,0.500000,0.500000,0.625000,1.000000,0.552335,0.552335,0.552335,0.552335,18.370315,18.370315,16.419902,16.419902,18.370315,18.370315,12.453321,12.453321,0.553803,0.550583,0.553803,0.550583,18.393481,18.342590,16.443040,16.392219,18.393481,18.342590,12.474622,12.427852,9.580082,
0.500000,0.500000,0.500000,0.625000,1.125000,0.555907,0.555907,0.555907,0.555907,18.426576,18.426576,16.476108,16.476108,18.426576,18.426576,11.575152,11.575152,0.558158,0.553183,0.558158,0.553183,18.461829,18.383704,16.511347,16.433274,18.461829,18.383704,11.606476,11.537123,11.036827,
0.500000,0.500000,0.500000,0.625000,1.250000,0.558322,0.558322,0.558322,0.558322,18.464392,18.464392,16.513910,16.513910,18.464392,18.464392,10.806302,10.806302,0.561334,0.554612,0.561334,0.554612,18.511318,18.406215,16.560843,16.455762,18.511318,18.406215,10.846532,10.756557,12.039512,
0.500000,0.500000,0.500000,0.625000,1.375000,0.559920,0.559920,0.559920,0.559920,18.489319,18.489319,16.538838,16.538838,18.489319,18.489319,10.128170,10.128170,0.563642,0.555249,0.563642,0.555249,18.547090,18.416239,16.596640,16.465778,18.547090,18.416239,10.175917,10.067986,12.704807,
0.500000,0.500000,0.500000,0.625000,1.500000,0.560915,0.560915,0.560915,0.560915,18.504799,18.504799,16.554322,16.554322,18.504799,18.504799,9.525874,9.525874,0.565272,0.555353,0.565272,0.555353,18.572275,18.417871,16.621852,16.467409,18.572275,18.417871,9.579623,9.456943,13.125318,
0.500000,0.500000,0.500000,0.750000,0.500000,0.525324,0.525324,0.525324,0.525324,17.932221,17.932221,14.416992,14.416992,17.932221,17.932221,17.932221,17.932221,0.526672,0.524001,0.526672,0.524001,17.954640,17.910166,14.438734,14.395614,17.954640,17.910166,17.954640,17.910166,-12.556521,
0.500000,0.500000,0.500000,0.750000,0.625000,0.542255,0.542255,0.542255,0.542255,18.209478,18.209478,14.686666,14.686666,18.209478,18.209478,16.259445,16.259445,0.542402,0.542042,0.542402,0.542042,18.211857,18.206047,14.688988,14.683319,18.211857,18.206047,16.261816,16.256026,-5.243692,
0.500000,0.500000,0.500000,0.750000,0.750000,0.554050,0.554050,0.554050,0.554050,18.397375,18.397375,14.870407,14.870407,18.397375,18.397375,14.870407,14.870407,0.554048,0.554048,0.554048,0.554048,18.397340,18.397340,14.870372,14.870373,18.397340,18.397340,14.870372,14.870373,-0.456069,
0.500000,0.500000,0.500000,0.750000,0.875000,0.562515,0.562515,0.562515,0.562515,18.529641,18.529641,15.000225,15.000225,18.529641,18.529641,13.695871,13.695871,0.562569,0.562413,0.562569,0.562413,18.530474,18.528057,15.001045,14.998668,18.530474,18.528057,13.696668,13.694357,2.746148,
0.500000,0.500000,0.500000,0.750000,1.000000,0.568510,0.568510,0.568510,0.568510,18.622060,18.622060,15.091170,15.091170,18.622060,18.622060,12.685835,12.685835,0.568991,0.567897,0.568991,0.567897,18.629429,18.612652,15.098430,15.081904,18.629429,18.612652,12.692676,12.677105,4.974450,
0.500000,0.500000,0.500000,0.750000,1.125000,0.572778,0.572778,0.572778,0.572778,18.687212,18.687212,15.155400,15.155400,18.687212,18.687212,11.807922,11.807922,0.573825,0.571510,0.573825,0.571510,18.703125,18.667910,15.171102,15.136361,18.703125,18.667910,11.822222,11.790589,6.528182,
0.500000,0.500000,0.500000,0.750000,1.250000,0.575790,0.575790,0.575790,0.575790,18.732883,18.732883,15.200483,15.200483,18.732883,18.732883,11.037769,11.037769,0.577441,0.573785,0.577441,0.573785,18.757818,18.702505,15.225117,15.170490,18.757818,18.702505,11.059425,11.011422,7.608358,
0.500000,0.500000,0.500000,0.750000,1.375000,0.577884,0.577884,0.577884,0.577884,18.764483,18.764483,15.231703,15.231703,18.764483,18.764483,10.356956,10.356956,0.580132,0.575122,0.580132,0.575122,18.798269,18.722783,15.265109,15.190509,18.798269,18.722783,10.385288,10.322061,8.344084,
0.500000,0.500000,0.500000,0.750000,1.500000,0.579264,0.579264,0.579264,0.579264,18.785252,18.785252,15.252235,15.252235,18.785252,18.785252,9.750685,9.750685,0.582066,0.575761,0.582066,0.575761,18.827231,18.732446,15.293766,15.200051,18.827231,18.732446,9.784658,9.708071,8.839490,
0.500000,0.500000,0.500000,0.875000,0.500000,0.533606,0.533606,0.533606,0.533606,18.068976,18.068976,13.258640,13.258640,18.068976,18.068976,18.068976,18.068976,0.536482,0.531009,0.536482,0.531009,18.115967,18.026331,13.302950,13.218484,18.115967,18.026331,18.115967,18.026331,-15.614317,
0.500000,0.500000,0.500000,0.875000,0.625000,0.552345,0.552345,0.552345,0.552345,18.370479,18.370479,13.544086,13.544086,18.370479,18.370479,16.420066,16.420066,0.553233,0.551415,0.553233,0.551415,18.384497,18.355766,13.557424,13.530094,18.384497,18.355766,16.434067,16.405374,-8.386878,
0.500000,0.500000,0.500000,0.875000,0.750000,0.565648,0.565648,0.565648,0.565648,18.578061,18.578061,13.742199,13.742199,18.578061,18.578061,15.047849,15.047849,0.565715,0.565530,0.565715,0.565530,18.579097,18.576247,13.743191,13.740462,18.579097,18.576247,15.048868,15.046064,-3.653408,
0.500000,0.500000,0.500000,0.875000,0.875000,0.575170,0.575170,0.575170,0.575170,18.723499,18.723499,13.881781,13.881781,18.723499,18.723499,13.881781,13.881781,0.575167,0.575167,0.575167,0.575167,18.723466,18.723466,13.881749,13.881750,18.723466,18.723466,13.881749,13.881750,-0.410474,
0.500000,0.500000,0.500000,0.875000,1.000000,0.582105,0.582105,0.582105,0.582105,18.827822,18.827822,13.982301,13.982301,18.827822,18.827822,12.877579,12.877579,0.582119,0.582071,0.582119,0.582071,18.828025,18.827309,13.982498,13.981807,18.828025,18.827309,12.877769,12.877099,1.840723,
0.500000,0.500000,0.500000,0.875000,1.125000,0.587115,0.587115,0.587115,0.587115,18.902352,18.902352,14.054320,14.054320,18.902352,18.902352,12.002133,12.002133,0.587428,0.586686,0.587428,0.586686,18.906975,18.895997,14.058793,14.048172,18.906975,18.895997,12.006328,11.996370,3.436728,
0.500000,0.500000,0.500000,0.875000,1.250000,0.590713,0.590713,0.590713,0.590713,18.955453,18.955453,14.105735,14.105735,18.955453,18.955453,11.232039,11.232039,0.591463,0.589780,0.591463,0.589780,18.966470,18.941717,14.116414,14.092427,18.966470,18.941717,11.241713,11.219986,4.570444,
0.500000,0.500000,0.500000,0.875000,1.375000,0.593269,0.593269,0.593269,0.593269,18.992963,18.992963,14.142108,14.142108,18.992963,18.992963,10.549584,10.549584,0.594483,0.591771,0.594483,0.591771,19.010723,18.970994,14.159344,14.120800,19.010723,18.970994,10.564659,10.530956,5.367675,
0.500000,0.500000,0.500000,0.875000,1.500000,0.595027,0.595027,0.595027,0.595027,19.018665,19.018665,14.167056,14.167056,19.018665,19.018665,9.940662,9.940662,0.596713,0.592943,0.596713,0.592943,19.043223,18.988183,14.190912,14.137471,19.043223,18.988183,9.960805,9.915703,5.920755,
0.500000,0.500000,0.500000,1.000000,0.500000,0.540166,0.540166,0.540166,0.540166,18.175763,18.175763,12.275178,12.275178,18.175763,18.175763,18.175763,18.175763,0.544913,0.536153,0.544913,0.536153,18.252187,18.110598,12.344996,12.215807,18.252187,18.110598,18.252187,18.110598,-17.674287,
0.500000,0.500000,0.500000,1.000000,0.625000,0.560695,0.560695,0.560695,0.560695,18.501383,18.501383,12.574093,12.574093,18.501383,18.501383,16.550904,16.550904,0.562686,0.558808,0.562686,0.558808,18.532299,18.471975,12.602670,12.546942,18.532299,18.471975,16.581836,16.521492,-10.576052,
0.500000,0.500000,0.500000,1.000000,0.750000,0.575284,0.575284,0.575284,0.575284,18.725231,18.725231,12.781785,12.781785,18.725231,18.725231,15.192926,15.192926,0.575873,0.574618,0.575873,0.574618,18.734138,18.715148,12.790087,12.772391,18.734138,18.715148,15.201722,15.182971,-5.863915,
0.500000,0.500000,0.500000,1.000000,0.875000,0.585932,0.585932,0.585932,0.585932,18.884811,18.884811,12.930958,12.930958,18.884811,18.884811,14.037354,14.037354,0.585949,0.585889,0.585949,0.585889,18.885070,18.884174,12.931201,12.930361,18.885070,18.884174,14.037605,14.036739,-2.640063,
0.500000,0.500000,0.500000,1.000000,1.000000,0.593714,0.593714,0.593714,0.593714,18.999473,18.999473,13.038719,13.038719,18.999473,18.999473,13.038719,13.038719,0.593712,0.593712,0.593712,0.593712,18.999440,18.999441,13.038689,13.038689,18.999440,18.999441,13.038689,13.038689,-0.363950,
0.500000,0.500000,0.500000,1.000000,1.125000,0.599431,0.599431,0.599431,0.599431,19.082682,19.082682,13.117224,13.117224,19.082682,19.082682,12.166387,12.166387,0.599433,0.599426,0.599433,0.599426,19.082701,19.082596,13.117242,13.117143,19.082701,19.082596,12.166405,12.166309,1.261217,
0.500000,0.500000,0.500000,1.000000,1.250000,0.603606,0.603606,0.603606,0.603606,19.142886,19.142886,13.174185,13.174185,19.142886,19.142886,11.397352,11.397352,0.603799,0.603318,0.603799,0.603318,19.145665,19.138748,13.176817,13.170266,19.145665,19.138748,11.399815,11.393686,2.430910,
0.500000,0.500000,0.500000,1.000000,1.375000,0.606627,0.606627,0.606627,0.606627,19.186175,19.186175,13.215225,13.215225,19.186175,19.186175,10.714396,10.714396,0.607153,0.605944,0.607153,0.605944,19.193686,19.176420,13.222353,13.205971,19.193686,19.176420,10.720839,10.706033,3.269188,
0.500000,0.500000,0.500000,1.000000,1.500000,0.608768,0.608768,0.608768,0.608768,19.216709,19.216709,13.244215,13.244215,19.216709,19.216709,10.103941,10.103941,0.609665,0.607643,0.609665,0.607643,19.229471,19.200684,13.256342,13.228996,19.229471,19.200684,10.114529,10.090657,3.863692,
0.500000,0.500000,0.500000,1.125000,0.500000,0.545516,0.545516,0.545516,0.545516,18.261852,18.261852,11.429437,11.429437,18.261852,18.261852,18.261852,18.261852,0.552260,0.539925,0.552260,0.539925,18.369128,18.171863,11.524211,11.350286,18.369128,18.171863,18.369128,18.171863,-19.112595,
0.500000,0.500000,0.500000,1.125000,0.625000,0.567564,0.567564,0.567564,0.567564,18.607533,18.607533,11.736471,11.736471,18.607533,18.607533,16.657162,16.657162,0.570910,0.564582,0.570910,0.564582,18.658764,18.561624,11.782382,11.695420,18.658764,18.561624,16.708496,16.611189,-12.096703,
0.500000,0.500000,0.500000,1.125000,0.750000,0.583462,0.583462,0.583462,0.583462,18.848075,18.848075,11.952958,11.952958,18.848075,18.848075,15.314402,15.314402,0.584866,0.582063,0.584866,0.582063,18.868971,18.827185,11.971875,11.934064,18.868971,18.827185,15.335100,15.293721,-7.444906,
0.500000,0.500000,0.500000,1.125000,0.875000,0.595123,0.595123,0.595123,0.595123,19.020064,19.020064,12.109199,12.109199,19.020064,19.020064,14.168414,14.168414,0.595510,0.594651,0.595510,0.594651,19.025711,19.013166,12.114350,12.102909,19.025711,19.013166,14.173898,14.161716,-4.232816,
0.500000,0.500000,0.500000,1.125000,1.000000,0.603752,0.603752,0.603752,0.603752,19.144991,19.144991,12.223455,12.223455,19.144991,19.144991,13.176178,13.176178,0.603754,0.603746,0.603754,0.603746,19.145014,19.144902,12.223476,12.223374,19.145014,19.144902,13.176200,13.176094,-1.954832,
