mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,sigma =0.250000,data are below
drho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
0.010000,0.500000,0.500000,0.500000,0.500000,0.500769,0.500769,0.500769,0.500769,17.513455,17.513455,17.513455,17.513455,17.513455,17.513455,17.513455,17.513455,0.500765,0.500765,0.500765,0.500765,17.513380,17.513380,17.513380,17.513380,17.513380,17.513380,17.513380,17.513380,
0.010000,0.500000,0.500000,0.625000,0.625000,0.529437,0.529437,0.529437,0.529437,18.000419,18.000419,16.051372,16.051372,18.000419,18.000419,16.051372,16.051372,0.529433,0.529433,0.529433,0.529433,18.000346,18.000356,16.051299,16.051309,18.000346,18.000356,16.051299,16.051309,
0.010000,0.500000,0.500000,0.750000,0.750000,0.553703,0.553703,0.553703,0.553703,18.391902,18.391902,14.865043,14.865043,18.391902,18.391902,14.865043,14.865043,0.553698,0.553699,0.553698,0.553699,18.391828,18.391845,14.864971,14.864988,18.391828,18.391845,14.864971,14.864988,
0.010000,0.500000,0.500000,0.875000,0.875000,0.574784,0.574784,0.574784,0.574784,18.717653,18.717653,13.876158,13.876158,18.717653,18.717653,13.876158,13.876158,0.574779,0.574780,0.574779,0.574780,18.717577,18.717599,13.876085,13.876106,18.717577,18.717599,13.876085,13.876106,
0.010000,0.500000,0.500000,1.000000,1.000000,0.593250,0.593250,0.593250,0.593250,18.992684,18.992684,13.032326,13.032326,18.992684,18.992684,13.032326,13.032326,0.593245,0.593247,0.593245,0.593247,18.992609,18.992634,13.032255,13.032279,18.992609,18.992634,13.032255,13.032279,
0.010000,0.500000,0.500000,1.125000,1.125000,0.609838,0.609838,0.609838,0.609838,19.231930,19.231930,12.303354,12.303354,19.231930,19.231930,12.303354,12.303354,0.609832,0.609834,0.609832,0.609834,19.231853,19.231881,12.303282,12.303308,19.231853,19.231881,12.303282,12.303308,
0.010000,0.500000,0.500000,1.250000,1.250000,0.624590,0.624590,0.624590,0.624590,19.438769,19.438769,11.661560,11.661560,19.438769,19.438769,11.661560,11.661560,0.624584,0.624586,0.624584,0.624586,19.438692,19.438722,11.661490,11.661517,19.438692,19.438722,11.661490,11.661517,
0.010000,0.500000,0.500000,1.375000,1.375000,0.637924,0.637924,0.637924,0.637924,19.621120,19.621120,11.091997,11.091997,19.621120,19.621120,11.091997,11.091997,0.637919,0.637921,0.637919,0.637921,19.621046,19.621078,11.091931,11.091959,19.621046,19.621078,11.091931,11.091959,
0.010000,0.500000,0.500000,1.500000,1.500000,0.650048,0.650048,0.650048,0.650048,19.783238,19.783238,10.581936,10.581936,19.783238,19.783238,10.581936,10.581936,0.650042,0.650044,0.650042,0.650044,19.783163,19.783196,10.581871,10.581899,19.783163,19.783196,10.581871,10.581899,
0.010000,0.625000,0.625000,0.500000,0.500000,0.529437,0.529437,0.529437,0.529437,16.051372,16.051372,18.000419,18.000419,16.051372,16.051372,18.000419,18.000419,0.529433,0.529433,0.529433,0.529433,16.051309,16.051299,18.000356,18.000346,16.051309,16.051299,18.000356,18.000346,
