mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000,0.500000,0.500000,0.500773,0.500773,0.500773,0.500773,17.513516,17.513516,17.513516,17.513516,17.513516,17.513516,17.513516,17.513516,0.500769,0.500769,0.500769,0.500769,17.513442,17.513442,17.513442,17.513442,17.513442,17.513442,17.513442,17.513442,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.500000,0.500000,0.500000,0.500000,0.500754,0.500754,0.500754,0.500754,17.513183,17.513183,17.513183,17.513183,17.513183,17.513183,17.513183,17.513183,0.500750,0.500750,0.500750,0.500750,17.513110,17.513110,17.513110,17.513110,17.513110,17.513110,17.513110,17.513110,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.500000,0.500000,0.500000,0.500000,0.500731,0.500731,0.500731,0.500731,17.512780,17.512780,17.512780,17.512780,17.512780,17.512780,17.512780,17.512780,0.500727,0.500727,0.500727,0.500727,17.512708,17.512708,17.512708,17.512708,17.512708,17.512708,17.512708,17.512708,
1.000000,0.700000,0.700000,1.000000,0.700000,1.000000,1.000000,0.700000,0.500000,0.500000,0.500000,0.500000,0.500672,0.500672,0.500672,0.500672,17.511758,17.511758,17.511758,17.511758,17.511758,17.511758,17.511758,17.511758,0.500668,0.500668,0.500668,0.500668,17.511686,17.511686,17.511686,17.511686,17.511686,17.511686,17.511686,17.511686,
1.000000,0.600000,0.600000,1.000000,0.600000,1.000000,1.000000,0.600000,0.500000,0.500000,0.500000,0.500000,0.500773,0.500773,0.500773,0.500773,17.513518,17.513518,17.513518,17.513518,17.513518,17.513518,17.513518,17.513518,0.500769,0.500769,0.500769,0.500769,17.513449,17.513449,17.513449,17.513449,17.513449,17.513449,17.513449,17.513449,
1.000000,0.500000,0.500000,1.000000,0.500000,1.000000,1.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500754,0.500754,0.500754,0.500754,17.513183,17.513183,17.513183,17.513183,17.513183,17.513183,17.513183,17.513183,0.500750,0.500750,0.500750,0.500750,17.513116,17.513116,17.513116,17.513116,17.513116,17.513116,17.513116,17.513116,
1.000000,0.400000,0.400000,1.000000,0.400000,1.000000,1.000000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500691,0.500691,0.500691,0.500691,17.512077,17.512077,17.512077,17.512077,17.512077,17.512077,17.512077,17.512077,0.500686,0.500686,0.500686,0.500686,17.512002,17.512002,17.512002,17.512002,17.512002,17.512002,17.512002,17.512002,
1.000000,0.300000,0.300000,1.000000,0.300000,1.000000,1.000000,0.300000,0.500000,0.500000,0.500000,0.500000,0.500795,0.500795,0.500795,0.500795,17.513903,17.513903,17.513903,17.513903,17.513903,17.513903,17.513903,17.513903,0.500791,0.500791,0.500791,0.500791,17.513829,17.513829,17.513829,17.513829,17.513829,17.513829,17.513829,17.513829,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.500000,0.500000,0.500000,0.500775,0.500775,0.500775,0.500775,17.513544,17.513544,17.513544,17.513544,17.513544,17.513544,17.513544,17.513544,0.500771,0.500771,0.500771,0.500771,17.513474,17.513474,17.513474,17.513474,17.513474,17.513474,17.513474,17.513474,
1.000000,0.100000,0.100000,1.000000,0.100000,1.000000,1.000000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500665,0.500665,0.500665,0.500665,17.511625,17.511625,17.511625,17.511625,17.511625,17.511625,17.511625,17.511625,0.500661,0.500661,0.500661,0.500661,17.511558,17.511558,17.511558,17.511558,17.511558,17.511558,17.511558,17.511558,
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500762,0.500762,0.500762,0.500762,17.513318,17.513318,17.513318,17.513318,17.513318,17.513318,17.513318,17.513318,0.500757,0.500757,0.500757,0.500757,17.513245,17.513245,17.513245,17.513245,17.513245,17.513245,17.513245,17.513245,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000,0.625000,0.625000,0.529436,0.529436,0.529436,0.529436,18.000393,18.000393,16.051346,16.051346,18.000393,18.000393,16.051346,16.051346,0.529431,0.529431,0.529431,0.529431,18.000325,18.000325,16.051278,16.051279,18.000325,18.000325,16.051278,16.051279,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.500000,0.500000,0.625000,0.625000,0.529405,0.529405,0.529405,0.529405,17.999893,17.999893,16.050849,16.050849,17.999893,17.999893,16.050849,16.050849,0.529398,0.529405,0.529398,0.529405,17.999771,17.999881,16.050728,16.050838,17.999771,17.999881,16.050728,16.050838,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.500000,0.500000,0.625000,0.625000,0.529418,0.529418,0.529418,0.529418,18.000095,18.000095,16.051050,16.051050,18.000095,18.000095,16.051050,16.051050,0.529237,0.529522,0.529237,0.529522,17.997117,18.001815,16.048089,16.052760,17.997117,18.001815,16.048089,16.052760,
1.000000,0.700000,0.700000,1.000000,0.700000,1.000000,1.000000,0.700000,0.500000,0.500000,0.625000,0.625000,0.529434,0.529434,0.529434,0.529434,18.000374,18.000374,16.051327,16.051327,18.000374,18.000374,16.051327,16.051327,0.528875,0.529889,0.528875,0.529889,17.991126,18.007880,16.042136,16.058788,17.991126,18.007880,16.042136,16.058788,
1.000000,0.600000,0.600000,1.000000,0.600000,1.000000,1.000000,0.600000,0.500000,0.500000,0.625000,0.625000,0.529413,0.529413,0.529413,0.529413,18.000027,18.000027,16.050982,16.050982,18.000027,18.000027,16.050982,16.050982,0.528229,0.530474,0.528229,0.530474,17.980448,18.017529,16.031524,16.068380,17.980448,18.017529,16.031524,16.068380,
1.000000,0.500000,0.500000,1.000000,0.500000,1.000000,1.000000,0.500000,0.500000,0.500000,0.625000,0.625000,0.529338,0.529338,0.529338,0.529338,17.998780,17.998780,16.049743,16.049743,17.998780,17.998780,16.049743,16.049743,0.527199,0.531362,0.527199,0.531362,17.963382,18.032144,16.014567,16.082912,17.963382,18.032144,16.014567,16.082912,
1.000000,0.400000,0.400000,1.000000,0.400000,1.000000,1.000000,0.400000,0.500000,0.500000,0.625000,0.625000,0.529362,0.529362,0.529362,0.529362,17.999177,17.999177,16.050138,16.050138,17.999177,17.999177,16.050138,16.050138,0.525806,0.532817,0.525806,0.532817,17.940249,18.056057,15.991588,16.106694,17.940249,18.056057,15.991588,16.106694,
1.000000,0.300000,0.300000,1.000000,0.300000,1.000000,1.000000,0.300000,0.500000,0.500000,0.625000,0.625000,0.529422,0.529422,0.529422,0.529422,18.000163,18.000163,16.051117,16.051117,18.000163,18.000163,16.051117,16.051117,0.523825,0.534986,0.523825,0.534986,17.907242,18.091563,15.958812,16.142018,17.907242,18.091563,15.958812,16.142018,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.500000,0.625000,0.625000,0.529331,0.529331,0.529331,0.529331,17.998666,17.998666,16.049629,16.049629,17.998666,17.998666,16.049629,16.049629,0.520784,0.537931,0.520784,0.537931,17.856317,18.139537,15.908272,16.189772,17.856317,18.139537,15.908272,16.189772,
1.000000,0.100000,0.100000,1.000000,0.100000,1.000000,1.000000,0.100000,0.500000,0.500000,0.625000,0.625000,0.529406,0.529406,0.529406,0.529406,17.999905,17.999905,16.050861,16.050861,17.999905,17.999905,16.050861,16.050861,0.516713,0.542354,0.516713,0.542354,17.787665,18.211071,15.840189,16.261033,17.787665,18.211071,15.840189,16.261033,
