mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,rho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817884,0.817884,0.817884,0.817884,15.746846,15.746846,15.746846,15.746846,15.746846,15.746846,15.746846,15.746846,0.817882,0.817882,0.817882,0.817882,15.746821,15.746821,15.746821,15.746821,15.746821,15.746821,15.746821,15.746821,
1.000000,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817875,0.817875,0.817875,0.817875,15.746754,15.746754,15.746754,15.746754,15.746754,15.746754,15.746754,15.746754,0.817871,0.817875,0.817875,0.817871,15.746714,15.746746,15.746714,15.746746,15.746746,15.746714,15.746746,15.746714,
1.000000,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817842,0.817842,0.817842,0.817842,15.746405,15.746405,15.746405,15.746405,15.746405,15.746405,15.746405,15.746405,0.817837,0.817843,0.817843,0.817837,15.746348,15.746416,15.746348,15.746416,15.746416,15.746348,15.746416,15.746348,
1.000000,0.700000,0.700000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817793,0.817793,0.817793,0.817793,15.745887,15.745887,15.745887,15.745887,15.745887,15.745887,15.745887,15.745887,0.817779,0.817799,0.817799,0.817779,15.745735,15.745947,15.745735,15.745947,15.745947,15.745735,15.745947,15.745735,
1.000000,0.600000,0.600000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817699,0.817699,0.817699,0.817699,15.744885,15.744885,15.744885,15.744885,15.744885,15.744885,15.744885,15.744885,0.817527,0.817789,0.817789,0.817527,15.743069,15.745845,15.743069,15.745845,15.745845,15.743069,15.745845,15.743069,
1.000000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817473,0.817473,0.817473,0.817473,15.742491,15.742491,15.742491,15.742491,15.742491,15.742491,15.742491,15.742491,0.817148,0.817674,0.817674,0.817148,15.739047,15.744619,15.739047,15.744619,15.744619,15.739047,15.744619,15.739047,
1.000000,0.400000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817494,0.817494,0.817494,0.817494,15.742715,15.742715,15.742715,15.742715,15.742715,15.742715,15.742715,15.742715,0.817030,0.817809,0.817809,0.817030,15.737797,15.746048,15.737797,15.746048,15.746048,15.737797,15.746048,15.737797,
1.000000,0.300000,0.300000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817872,0.817872,0.817872,0.817872,15.746720,15.746720,15.746720,15.746720,15.746720,15.746720,15.746720,15.746720,0.817305,0.818278,0.818278,0.817305,15.740712,15.751022,15.740712,15.751022,15.751022,15.740712,15.751022,15.740712,
1.000000,0.200000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817821,0.817821,0.817821,0.817821,15.746178,15.746178,15.746178,15.746178,15.746178,15.746178,15.746178,15.746178,0.817078,0.818383,0.818383,0.817078,15.738302,15.752128,15.738302,15.752128,15.752128,15.738302,15.752128,15.738302,
1.000000,0.100000,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817141,0.817141,0.817141,0.817141,15.738972,15.738972,15.738972,15.738972,15.738972,15.738972,15.738972,15.738972,0.816211,0.817881,0.817881,0.816211,15.729108,15.746812,15.729108,15.746812,15.746812,15.729108,15.746812,15.729108,
1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817691,0.817691,0.817691,0.817691,15.744797,15.744797,15.744797,15.744797,15.744797,15.744797,15.744797,15.744797,0.816545,0.818627,0.818627,0.816545,15.732653,15.754712,15.732653,15.754712,15.754712,15.732653,15.754712,15.732653,
