mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,rhoA = 0.100000,rhoB = 0.900000,data are below
sigma,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
0.100000,0.500000,0.500000,0.500000,0.500000,0.500228,0.500228,0.500228,0.500228,17.503992,17.503992,17.503992,17.503992,17.503992,17.503992,17.503992,17.503992,0.500225,0.500227,0.500227,0.500225,17.503937,17.503975,17.503937,17.503975,17.503975,17.503937,17.503975,17.503937,
0.100000,0.500000,0.512500,0.512500,0.500000,0.501967,0.501967,0.501967,0.501967,17.534362,17.534362,17.318308,17.318308,17.318308,17.318308,17.534362,17.534362,0.501684,0.502342,0.502342,0.501684,17.529419,17.540895,17.313366,17.324840,17.324840,17.313366,17.540895,17.529419,
0.100000,0.500000,0.525000,0.525000,0.500000,0.503638,0.503638,0.503638,0.503638,17.563440,17.563440,17.136578,17.136578,17.136578,17.136578,17.563440,17.563440,0.503059,0.504775,0.504775,0.503059,17.553374,17.583171,17.126517,17.156302,17.156302,17.126517,17.583171,17.553374,
0.100000,0.500000,0.537500,0.537500,0.500000,0.505251,0.505251,0.505251,0.505251,17.591408,17.591408,16.958776,16.958776,16.958776,16.958776,17.591408,17.591408,0.504409,0.507202,0.507202,0.504409,17.576813,17.625133,16.944195,16.992472,16.992472,16.944195,17.625133,17.576813,
0.100000,0.500000,0.550000,0.550000,0.500000,0.506799,0.506799,0.506799,0.506799,17.618175,17.618175,16.784612,16.784612,16.784612,16.784612,17.618175,17.618175,0.505717,0.509590,0.509590,0.505717,17.599485,17.666237,16.765953,16.832602,16.832602,16.765953,17.666237,17.599485,
0.100000,0.500000,0.562500,0.562500,0.500000,0.508293,0.508293,0.508293,0.508293,17.643938,17.643938,16.614098,16.614098,16.614098,16.614098,17.643938,17.643938,0.506976,0.511916,0.511916,0.506976,17.621226,17.706076,16.591445,16.676093,16.676093,16.591445,17.706076,17.621226,
0.100000,0.500000,0.575000,0.575000,0.500000,0.509743,0.509743,0.509743,0.509743,17.668854,17.668854,16.447215,16.447215,16.447215,16.447215,17.668854,17.668854,0.508198,0.514181,0.514181,0.508198,17.642304,17.744704,16.420762,16.522820,16.522820,16.420762,17.744704,17.642304,
0.100000,0.500000,0.587500,0.587500,0.500000,0.511135,0.511135,0.511135,0.511135,17.692716,17.692716,16.283592,16.283592,16.283592,16.283592,17.692716,17.692716,0.509381,0.516393,0.516393,0.509381,17.662650,17.782257,16.253672,16.372748,16.372748,16.253672,17.782257,17.662650,
0.100000,0.500000,0.600000,0.600000,0.500000,0.512488,0.512488,0.512488,0.512488,17.715849,17.715849,16.123396,16.123396,16.123396,16.123396,17.715849,17.715849,0.510526,0.518551,0.518551,0.510526,17.682284,17.818732,16.090039,16.225713,16.225713,16.090039,17.818732,17.682284,
0.100000,0.500000,0.612500,0.612500,0.500000,0.513770,0.513770,0.513770,0.513770,17.737704,17.737704,15.965934,15.965934,15.965934,15.965934,17.737704,17.737704,0.511608,0.520621,0.520621,0.511608,17.700810,17.853575,15.929325,16.081012,16.081012,15.929325,17.853575,17.700810,
