mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.100000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.500000,0.500000,0.500000,0.500771,0.500771,0.500771,0.500771,17.513484,17.513484,17.513484,17.513484,17.513484,17.513484,17.513484,17.513484,0.500769,0.500769,0.500769,0.500769,17.513449,17.513449,17.513449,17.513449,17.513449,17.513449,17.513449,17.513449,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.512500,0.512500,0.500000,0.503856,0.503856,0.503856,0.503856,17.567212,17.567212,17.351156,17.351156,17.351156,17.351156,17.567212,17.567212,0.502856,0.504760,0.504760,0.502856,17.549842,17.582907,17.333786,17.366850,17.366850,17.333786,17.582907,17.549842,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.525000,0.525000,0.500000,0.506857,0.506857,0.506857,0.506857,17.619176,17.619176,17.192296,17.192296,17.192296,17.192296,17.619176,17.619176,0.504780,0.508841,0.508841,0.504780,17.583257,17.653370,17.156388,17.226482,17.226482,17.156388,17.653370,17.583257,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.537500,0.537500,0.500000,0.509767,0.509767,0.509767,0.509767,17.669264,17.669264,17.036572,17.036572,17.036572,17.036572,17.669264,17.669264,0.506647,0.512833,0.512833,0.506647,17.615559,17.721734,16.982905,17.089016,17.089016,16.982905,17.721734,17.615559,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.550000,0.550000,0.500000,0.512613,0.512613,0.512613,0.512613,17.717980,17.717980,16.884281,16.884281,16.884281,16.884281,17.717980,17.717980,0.508453,0.516762,0.516762,0.508453,17.646683,17.788500,16.813076,16.954739,16.954739,16.813076,17.788500,17.646683,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.562500,0.562500,0.500000,0.515381,0.515381,0.515381,0.515381,17.765087,17.765087,16.734994,16.734994,16.734994,16.734994,17.765087,17.765087,0.510211,0.520614,0.520614,0.510211,17.676892,17.853467,16.646973,16.823251,16.823251,16.646973,17.853467,17.676892,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.575000,0.575000,0.500000,0.518081,0.518081,0.518081,0.518081,17.810802,17.810802,16.588743,16.588743,16.588743,16.588743,17.810802,17.810802,0.511916,0.524404,0.524404,0.511916,17.706073,17.916891,16.484308,16.694623,16.694623,16.484308,17.916891,17.706073,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.587500,0.587500,0.500000,0.520717,0.520717,0.520717,0.520717,17.855193,17.855193,16.445425,16.445425,16.445425,16.445425,17.855193,17.855193,0.513579,0.528118,0.528118,0.513579,17.734445,17.978612,16.325133,16.568516,16.568516,16.325133,17.978612,17.734445,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.600000,0.600000,0.500000,0.523411,0.523411,0.523411,0.523411,17.900326,17.900326,16.306936,16.306936,16.306936,16.306936,17.900326,17.900326,0.515197,0.531776,0.531776,0.515197,17.761971,18.038952,16.169251,16.445090,16.445090,16.169251,18.038952,17.761971,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.612500,0.612500,0.500000,0.525931,0.525931,0.525931,0.525931,17.942317,17.942317,16.169253,16.169253,16.169253,16.169253,17.942317,17.942317,0.516825,0.535527,0.535527,0.516825,17.789559,18.100400,16.017415,16.326666,16.326666,16.017415,18.100400,17.789559,
